Date,Discharge,BOD,TSS,OG,pH,Phenols,COD
8/20/2016,No discharge,,14,nil,7,<0.1,84
8/21/2016,No discharge,,11,nil,6,<0.1,110
8/22/2016,,,12,nil,7,<0.1,57
8/23/2016,,,15,nil,7,<0.1,49
8/24/2016,,,18,nil,7,<0.1,28
8/25/2016,,,12,nil,7,<0.1,35
8/26/2016,,,21,nil,7,<0.1,42
8/27/2016,,,23,nil,7,<0.1,32
8/28/2016,No discharge,,72,nil,7,<0.1,28
8/29/2016,,,19,nil,8,<0.1,23
8/30/2016,,13,21,nil,No data,<0.1,20
8/31/2016,,,22,nil,8,<0.1,23
9/1/2016,,,30,nil,7,<0.1,27
9/2/2016,No discharge,,48,nil,8,<0.1,58
9/3/2016,No discharge,,50,nil,7,<0.1,127
9/4/2016,,,47,nil,8,<0.1,149
9/5/2016,,,25,nil,7,<0.1,58
9/6/2016,,,31,nil,8,<0.1,35
9/7/2016,,,No data,nil,7,<0.1,60
9/8/2016,,,28,nil,7,<0.1,60
9/9/2016,,,34,nil,7,<0.1,60
9/10/2016,,,No data,nil,7,<0.1,48
9/11/2016,No discharge,,95,nil,8,<0.1,166
9/12/2016,No discharge,,65,nil,7,<0.1,113
9/13/2016,,15,No data,nil,7,<0.1,58
9/14/2016,No discharge,,68,nil,8,<0.1,100
9/15/2016,No discharge,,63,nil,7,<0.1,145
9/16/2016,No discharge,,11,nil,7,<0.1,102
9/17/2016,No discharge,,20,nil,7,<0.1,98
9/18/2016,,,23,nil,7,<0.1,28
9/19/2016,,24,24,nil,7,<0.1,50
9/20/2016,No discharge,,19,nil,8,<0.1,94
9/21/2016,No discharge,,12,nil,7,<0.1,91
9/22/2016,No discharge,,15,nil,7,<0.1,83
9/23/2016,No discharge,,35,nil,7,<0.1,86
9/24/2016,,,45,nil,8,<0.1,23
9/25/2016,No discharge,,44,nil,8,<0.1,155
9/26/2016,No discharge,,47,nil,8,<0.1,141
9/27/2016,No discharge,,No data,nil,8,<0.1,131
9/28/2016,No discharge,,44,nil,8,<0.1,122
9/29/2016,,,No data,nil,7,<0.1,23
9/30/2016,No discharge,,30,nil,8,<0.1,132
10/1/2016,,,91,nil,8,0.1,28
10/2/2016,,,61,2,8,0.1,60
10/3/2016,,,256,1,8,0.1,27
10/4/2016,,,128,nil,8,0.1,60
10/5/2016,No discharge,,37,nil,7,<0.1,77
10/6/2016,,,32,nil,8,0.1,60
10/7/2016,,,28,nil,8,<0.1,43
10/8/2016,,,32,nil,8,0.1,47
10/9/2016,,,78,nil,8,0.1,38
10/10/2016,,4,82,nil,8,0.1,32
10/11/2016,,,71,nil,8,<0.1,46
10/12/2016,No discharge,,No data,1,8,<0.1,197
10/13/2016,No discharge,,81,nil,7,<0.1,136
10/14/2016,No discharge,,67,nil,8,<0.1,112
10/15/2016,,,79,nil,8,<0.1,159
10/16/2016,,,No data,No data,No data,<0.1,263
10/17/2016,,18,No data,nil,8,<0.1,174
10/18/2016,,,No data,nil,8,<0.1,225
10/19/2016,,,No data,nil,8,<0.1,235
10/20/2016,,,68,nil,7,<0.1,225
10/21/2016,,,99,nil,7,<0.1,218
10/22/2016,,,108,nil,7,<0.1,218
10/23/2016,,,117,nil,7,<0.1,254
10/24/2016,,32,126,nil,8,<0.1,171
10/25/2016,,,75,nil,8,<0.1,205
10/26/2016,,,110,nil,8,<0.1,286
10/27/2016,,,96,nil,8,<0.1,197
10/28/2016,,,85,nil,9,<0.1,195
10/29/2016,,,74,nil,8,<0.1,187
10/30/2016,,,64,nil,7,<0.1,110
10/31/2016,No discharge,,7,nil,7,<0.1,37
11/1/2016,No discharge,,13,nil,8,<0.1,130
11/2/2016,No discharge,,13,nil,7,<0.1,101
11/3/2016,No discharge,,No data,nil,7,<0.1,118
11/4/2016,No discharge,,No data,nil,8,<0.1,146
11/5/2016,,,No data,nil,8,<0.1,47
11/6/2016,,,16,nil,8,<0.1,33
